X,Y,yaw,velocity,readable
0.835,0.6,0.0,0.2,True
0.874,0.6,0.0,0.2,False
0.913,0.6,0.0,0.201,False
0.952,0.6,0.0,0.202,False
0.99,0.6,0.0,0.204,False
1.029,0.6,0.0,0.207,False
1.068,0.6,0.0,0.21,False
1.107,0.6,0.0,0.213,False
1.146,0.6,0.0,0.217,False
1.184,0.6,0.0,0.221,False
1.223,0.6,0.0,0.225,False
1.262,0.6,0.0,0.23,False
1.301,0.6,0.0,0.235,False
1.34,0.6,0.0,0.24,False
1.379,0.6,0.0,0.245,False
1.417,0.6,0.0,0.25,False
1.456,0.6,0.0,0.255,False
1.495,0.6,0.0,0.26,False
1.534,0.6,0.0,0.265,False
1.573,0.6,0.0,0.27,False
1.612,0.6,0.0,0.275,False
1.651,0.6,0.0,0.279,False
1.689,0.6,0.0,0.283,False
1.728,0.6,0.0,0.287,False
1.767,0.6,0.0,0.29,False
1.806,0.6,0.0,0.293,False
1.845,0.6,0.0,0.296,False
1.883,0.6,0.0,0.298,False
1.922,0.6,0.0,0.299,False
1.961,0.6,0.0,0.3,False
2.0,0.6,0.0,0.3,True
2.053,0.6,0.0,0.301,False
2.107,0.6,0.0,0.302,False
2.16,0.6,0.0,0.305,False
2.213,0.6,0.0,0.309,False
2.267,0.6,0.0,0.313,False
2.32,0.6,0.0,0.319,False
2.373,0.6,0.0,0.326,False
2.427,0.6,0.0,0.333,False
2.48,0.6,0.0,0.341,False
2.533,0.6,0.0,0.35,False
2.587,0.6,0.0,0.359,False
2.64,0.6,0.0,0.369,False
2.693,0.6,0.0,0.379,False
2.747,0.6,0.0,0.39,False
2.8,0.6,0.0,0.4,False
2.853,0.6,0.0,0.41,False
2.907,0.6,0.0,0.421,False
2.96,0.6,0.0,0.431,False
3.013,0.6,0.0,0.441,False
3.067,0.6,0.0,0.45,False
3.12,0.6,0.0,0.459,False
3.173,0.6,0.0,0.467,False
3.227,0.6,0.0,0.474,False
3.28,0.6,0.0,0.481,False
3.333,0.6,0.0,0.487,False
3.387,0.6,0.0,0.491,False
3.44,0.6,0.0,0.495,False
3.493,0.6,0.0,0.498,False
3.547,0.6,0.0,0.499,False
3.6,0.6,0.0,0.5,True
3.653,0.6,0.0,0.499,False
3.707,0.6,0.0,0.497,False
3.76,0.6,0.0,0.493,False
3.813,0.6,0.0,0.487,False
3.867,0.6,0.0,0.48,False
3.92,0.6,0.0,0.471,False
3.973,0.6,0.0,0.461,False
4.027,0.6,0.0,0.45,False
4.08,0.6,0.0,0.438,False
4.133,0.6,0.0,0.425,False
4.187,0.6,0.0,0.411,False
4.24,0.6,0.0,0.396,False
4.293,0.6,0.0,0.381,False
4.347,0.6,0.0,0.366,False
4.4,0.6,0.0,0.35,False
4.453,0.6,0.0,0.334,False
4.507,0.6,0.0,0.319,False
4.56,0.6,0.0,0.304,False
4.613,0.6,0.0,0.289,False
4.667,0.6,0.0,0.275,False
4.72,0.6,0.0,0.262,False
4.773,0.6,0.0,0.25,False
4.827,0.6,0.0,0.239,False
4.88,0.6,0.0,0.229,False
4.933,0.6,0.0,0.22,False
4.987,0.6,0.0,0.213,False
5.04,0.6,0.0,0.207,False
5.093,0.6,0.0,0.203,False
5.147,0.6,0.0,0.201,False
5.2,0.6,0.0,0.2,True
5.2,0.62,0.0,0.2,False
5.2,0.64,0.0,0.199,False
5.2,0.66,0.0,0.198,False
5.2,0.68,0.0,0.196,False
5.2,0.7,0.0,0.193,False
5.2,0.72,0.0,0.19,False
5.2,0.74,0.0,0.187,False
5.2,0.76,0.0,0.183,False
5.2,0.78,0.0,0.179,False
5.2,0.8,0.0,0.175,False
5.2,0.82,0.0,0.17,False
5.2,0.84,0.0,0.165,False
5.2,0.86,0.0,0.16,False
5.2,0.88,0.0,0.155,False
5.2,0.9,0.0,0.15,False
5.2,0.92,0.0,0.145,False
5.2,0.94,0.0,0.14,False
5.2,0.96,0.0,0.135,False
5.2,0.98,0.0,0.13,False
5.2,1.0,0.0,0.125,False
5.2,1.02,0.0,0.121,False
5.2,1.04,0.0,0.117,False
5.2,1.06,0.0,0.113,False
5.2,1.08,0.0,0.11,False
5.2,1.1,0.0,0.107,False
5.2,1.12,0.0,0.104,False
5.2,1.14,0.0,0.102,False
5.2,1.16,0.0,0.101,False
5.2,1.18,0.0,0.1,False
5.2,1.2,0.0,0.1,True
5.2,1.227,0.0,0.1,False
5.2,1.255,0.0,0.099,False
5.2,1.282,0.0,0.098,False
5.2,1.309,0.0,0.097,False
5.2,1.337,0.0,0.095,False
5.2,1.364,0.0,0.092,False
5.2,1.391,0.0,0.09,False
5.2,1.419,0.0,0.087,False
5.2,1.446,0.0,0.084,False
5.2,1.473,0.0,0.08,False
5.2,1.501,0.0,0.076,False
5.2,1.528,0.0,0.072,False
5.2,1.555,0.0,0.068,False
5.2,1.583,0.0,0.064,False
5.2,1.61,0.0,0.06,False
5.2,1.637,0.0,0.056,False
5.2,1.665,0.0,0.052,False
5.2,1.692,0.0,0.048,False
5.2,1.719,0.0,0.044,False
5.2,1.747,0.0,0.04,False
5.2,1.774,0.0,0.036,False
5.2,1.801,0.0,0.033,False
5.2,1.829,0.0,0.03,False
5.2,1.856,0.0,0.028,False
5.2,1.883,0.0,0.025,False
5.2,1.911,0.0,0.023,False
5.2,1.938,0.0,0.022,False
5.2,1.965,0.0,0.021,False
5.2,1.993,0.0,0.02,False
5.2,2.02,0.0,0.02,True
