X,Y,yaw,velocity,readable
5.2,2.02,0.0,0.2,True
5.2,1.993,0.0,0.2,False
5.2,1.965,0.0,0.2,False
5.2,1.938,0.0,0.2,False
5.2,1.911,0.0,0.2,False
5.2,1.883,0.0,0.2,False
5.2,1.856,0.0,0.2,False
5.2,1.829,0.0,0.2,False
5.2,1.801,0.0,0.2,False
5.2,1.774,0.0,0.2,False
5.2,1.747,0.0,0.2,False
5.2,1.719,0.0,0.2,False
5.2,1.692,0.0,0.2,False
5.2,1.665,0.0,0.2,False
5.2,1.637,0.0,0.2,False
5.2,1.61,0.0,0.2,False
5.2,1.583,0.0,0.2,False
5.2,1.555,0.0,0.2,False
5.2,1.528,0.0,0.2,False
5.2,1.501,0.0,0.2,False
5.2,1.473,0.0,0.2,False
5.2,1.446,0.0,0.2,False
5.2,1.419,0.0,0.2,False
5.2,1.391,0.0,0.2,False
5.2,1.364,0.0,0.2,False
5.2,1.337,0.0,0.2,False
5.2,1.309,0.0,0.2,False
5.2,1.282,0.0,0.2,False
5.2,1.255,0.0,0.2,False
5.2,1.227,0.0,0.2,False
5.2,1.2,0.0,0.2,True
5.2,1.18,0.0,0.2,False
5.2,1.16,0.0,0.2,False
5.2,1.14,0.0,0.2,False
5.2,1.12,0.0,0.2,False
5.2,1.1,0.0,0.2,False
5.2,1.08,0.0,0.2,False
5.2,1.06,0.0,0.2,False
5.2,1.04,0.0,0.2,False
5.2,1.02,0.0,0.2,False
5.2,1.0,0.0,0.2,False
5.2,0.98,0.0,0.2,False
5.2,0.96,0.0,0.2,False
5.2,0.94,0.0,0.2,False
5.2,0.92,0.0,0.2,False
5.2,0.9,0.0,0.2,False
5.2,0.88,0.0,0.2,False
5.2,0.86,0.0,0.2,False
5.2,0.84,0.0,0.2,False
5.2,0.82,0.0,0.2,False
5.2,0.8,0.0,0.2,False
5.2,0.78,0.0,0.2,False
5.2,0.76,0.0,0.2,False
5.2,0.74,0.0,0.2,False
5.2,0.72,0.0,0.2,False
5.2,0.7,0.0,0.2,False
5.2,0.68,0.0,0.2,False
5.2,0.66,0.0,0.2,False
5.2,0.64,0.0,0.2,False
5.2,0.62,0.0,0.2,False
5.2,0.6,0.0,0.2,True
5.253,0.6,0.0,0.201,False
5.307,0.6,0.0,0.203,False
5.36,0.6,0.0,0.207,False
5.413,0.6,0.0,0.213,False
5.467,0.6,0.0,0.22,False
5.52,0.6,0.0,0.229,False
5.573,0.6,0.0,0.239,False
5.627,0.6,0.0,0.25,False
5.68,0.6,0.0,0.262,False
5.733,0.6,0.0,0.275,False
5.787,0.6,0.0,0.289,False
5.84,0.6,0.0,0.304,False
5.893,0.6,0.0,0.319,False
5.947,0.6,0.0,0.334,False
6.0,0.6,0.0,0.35,False
6.053,0.6,0.0,0.366,False
6.107,0.6,0.0,0.381,False
6.16,0.6,0.0,0.396,False
6.213,0.6,0.0,0.411,False
6.267,0.6,0.0,0.425,False
6.32,0.6,0.0,0.438,False
6.373,0.6,0.0,0.45,False
6.427,0.6,0.0,0.461,False
6.48,0.6,0.0,0.471,False
6.533,0.6,0.0,0.48,False
6.587,0.6,0.0,0.487,False
6.64,0.6,0.0,0.493,False
6.693,0.6,0.0,0.497,False
6.747,0.6,0.0,0.499,False
6.8,0.6,0.0,0.5,True
6.853,0.6,0.0,0.499,False
6.907,0.6,0.0,0.497,False
6.96,0.6,0.0,0.493,False
7.013,0.6,0.0,0.487,False
7.067,0.6,0.0,0.48,False
7.12,0.6,0.0,0.471,False
7.173,0.6,0.0,0.461,False
7.227,0.6,0.0,0.45,False
7.28,0.6,0.0,0.438,False
7.333,0.6,0.0,0.425,False
7.387,0.6,0.0,0.411,False
7.44,0.6,0.0,0.396,False
7.493,0.6,0.0,0.381,False
7.547,0.6,0.0,0.366,False
7.6,0.6,0.0,0.35,False
7.653,0.6,0.0,0.334,False
7.707,0.6,0.0,0.319,False
7.76,0.6,0.0,0.304,False
7.813,0.6,0.0,0.289,False
7.867,0.6,0.0,0.275,False
7.92,0.6,0.0,0.262,False
7.973,0.6,0.0,0.25,False
8.027,0.6,0.0,0.239,False
8.08,0.6,0.0,0.229,False
8.133,0.6,0.0,0.22,False
8.187,0.6,0.0,0.213,False
8.24,0.6,0.0,0.207,False
8.293,0.6,0.0,0.203,False
8.347,0.6,0.0,0.201,False
8.4,0.6,0.0,0.2,True
8.447,0.6,0.0,0.2,False
8.493,0.6,0.0,0.198,False
8.54,0.6,0.0,0.196,False
8.587,0.6,0.0,0.192,False
8.633,0.6,0.0,0.188,False
8.68,0.6,0.0,0.183,False
8.727,0.6,0.0,0.177,False
8.773,0.6,0.0,0.17,False
8.82,0.6,0.0,0.163,False
8.867,0.6,0.0,0.155,False
8.913,0.6,0.0,0.147,False
8.96,0.6,0.0,0.138,False
9.007,0.6,0.0,0.129,False
9.053,0.6,0.0,0.119,False
9.1,0.6,0.0,0.11,False
9.147,0.6,0.0,0.101,False
9.193,0.6,0.0,0.091,False
9.24,0.6,0.0,0.082,False
9.287,0.6,0.0,0.073,False
9.333,0.6,0.0,0.065,False
9.38,0.6,0.0,0.057,False
9.427,0.6,0.0,0.05,False
9.473,0.6,0.0,0.043,False
9.52,0.6,0.0,0.037,False
9.567,0.6,0.0,0.032,False
9.613,0.6,0.0,0.028,False
9.66,0.6,0.0,0.024,False
9.707,0.6,0.0,0.022,False
9.753,0.6,0.0,0.02,False
9.8,0.6,0.0,0.02,True
